"Sl no","pdf_urls"
"103","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzMxOTAwMDAxMTM5MTIwMjNJUw%3D%3D"
"104","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzMyNjAwMDAxMjI2NzIwMjNMMQ%3D%3D"
"105","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzQ2MjAwMDAxMTU5MzIwMjNJUw%3D%3D"
"106","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1ODE3NDAwMDAxMjk4NzIwMjNJUw%3D%3D"
"107","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzcxOTAwMDAxMjEwMTIwMjNJUw%3D%3D"
"108","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzY2MjAwMDAxMjkyMzIwMjNMMQ%3D%3D"
"109","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDIwMjMwMDExNzAxNTAwMDAwMDExNzIwMjNGMg%3D%3D"
"110","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzY5NDAwMDAwNDI5ODIwMjNJUw%3D%3D"
"111","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzcwMzAwMDAwNTMwMDIwMjNMMQ%3D%3D"
"112","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Mzc0ODAwMDAwNDM1ODIwMjNJUw%3D%3D"
"113","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1MzkzNjAwMDAwNTY1ODIwMjNMMQ%3D%3D"
"114","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDI3MTAwMDAwNTIxOTIwMjNJUw%3D%3D"
"115","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDQ4NjAwMDAwNTUzMTIwMjNJUw%3D%3D"
"116","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDY4MjAwMDAwNzA3OTIwMjNMMQ%3D%3D"
"117","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDMxOTAwMDAwNTQyNTIwMjNJUw%3D%3D"
"118","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDUwMDAwMDAwNTU3MDIwMjNJUw%3D%3D"
"119","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDE4NTAwMDAwNTEyNDIwMjNJUw%3D%3D"
"120","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDgyNzAwMDAwNzQzNDIwMjNMMQ%3D%3D"
"121","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDczMTAwMDAwNzI1NjIwMjNMMQ%3D%3D"
"122","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDg2MTAwMDAwNjMyNzIwMjNJUw%3D%3D"
"123","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NDk4MDAwMDAwNzYxMDIwMjNMMQ%3D%3D"
"124","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTQ2NzAwMDAwNzUwMTIwMjNJUw%3D%3D"
"125","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTQ3NDAwMDAwODc1NTIwMjNMMQ%3D%3D"
"126","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTQzMTAwMDAwNzQ3OTIwMjNJUw%3D%3D"
"127","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NTkzOTAwMDAwODE1MzIwMjNJUw%3D%3D"
"128","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Njc0NTAwMDAxMTA2NjIwMjNMMQ%3D%3D"
"129","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Njc5ODAwMDAxMTIzNzIwMjNMMQ%3D%3D"
"130","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Njg0OTAwMDAxMDMyMjIwMjNJUw%3D%3D"
"131","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzE3NjAwMDAxMjExNDIwMjNMMQ%3D%3D"
"132","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzUwNDAwMDAxMjcyNzIwMjNMMQ%3D%3D"
"133","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1Nzc3MzAwMDAxMzE3NTIwMjNMMQ%3D%3D"
"134","https://pay2igr.igrmaharashtra.gov.in/eDisplay/propertydetails/indexii/Mw%3D%3D/MDUxNDA1NzM5MjAwMDAxMTUyOTIwMjNJUw%3D%3D"
